Site,geo_index,Year,0
OSBS,400000_3285000,2018,24404
OSBS,407000_3279000,2019,27467
WREF,583000_5078000,2019,33163
WREF,576000_5073000,2019,30091
WREF,575000_5070000,2018,22920
BONA,469000_7232000,2019,74697
SOAP,298000_4101000,2018,15890
BONA,478000_7226000,2018,153
BONA,471000_7234000,2019,2097
TEAK,324000_4107000,2018,139
BART,313000_4880000,2018,47447
BART,314000_4878000,2018,47368
WREF,584000_5077000,2018,21842
BONA,476000_7226000,2018,30584
TEAK,315000_4097000,2018,16286
DELA,428000_3597000,2019,7551
TEAK,314000_4095000,2019,20620
BONA,474000_7224000,2018,25560
SOAP,303000_4100000,2019,21365
BART,319000_4876000,2019,36932
SOAP,298000_4101000,2019,21874
TEAK,320000_4107000,2019,4868
TEAK,313000_4092000,2018,17436
BONA,475000_7222000,2018,40579
OSBS,399000_3284000,2019,25030
SOAP,295000_4103000,2018,14223
TEAK,321000_4097000,2018,24385
BONA,473000_7234000,2019,36975
SOAP,293000_4100000,2019,14321
BONA,474000_7223000,2018,53409
OSBS,400000_3277000,2018,19828
TEAK,313000_4102000,2018,15499
SOAP,298000_4108000,2019,21748
TEAK,316000_4102000,2019,8707
DELA,423000_3597000,2019,11527
BONA,481000_7223000,2019,2073
BONA,481000_7232000,2018,75288
WREF,581000_5079000,2018,30889
DELA,426000_3599000,2019,34464
BART,317000_4879000,2019,39077
SOAP,295000_4101000,2019,22373
OSBS,399000_3288000,2018,39922
BART,318000_4881000,2019,38522
WREF,574000_5079000,2019,38621
BONA,477000_7223000,2019,32789
WREF,573000_5070000,2018,20349
BONA,472000_7228000,2019,69684
OSBS,410000_3278000,2019,28217
SOAP,295000_4097000,2018,7691
WREF,583000_5073000,2019,24497
OSBS,405000_3280000,2018,27665
BART,317000_4882000,2018,28931
BART,321000_4879000,2018,45414
OSBS,404000_3284000,2019,23773
OSBS,402000_3284000,2019,24469
BART,319000_4878000,2019,60868
WREF,578000_5080000,2019,29162
WREF,574000_5081000,2018,19329
BONA,474000_7231000,2018,61785
DELA,426000_3604000,2019,26602
OSBS,402000_3287000,2018,13325
DELA,425000_3605000,2019,18553
DELA,420000_3604000,2019,39301
OSBS,403000_3288000,2019,23058
BONA,474000_7225000,2019,33349
WREF,581000_5079000,2019,40941
DELA,422000_3605000,2019,38832
BONA,478000_7227000,2019,10485
DELA,425000_3600000,2019,31716
DELA,422000_3599000,2019,21854
BONA,475000_7228000,2019,41446
SOAP,296000_4097000,2019,20098
SOAP,302000_4097000,2018,18389
OSBS,408000_3288000,2018,24954
BART,315000_4874000,2018,29449
TEAK,315000_4105000,2018,17719
BART,318000_4879000,2019,42369
BONA,476000_7229000,2019,40235
TEAK,323000_4096000,2019,13986
SOAP,301000_4105000,2019,26090
WREF,584000_5075000,2018,23639
TEAK,324000_4101000,2018,9048
TEAK,322000_4092000,2019,17920
SOAP,298000_4106000,2019,27705
WREF,577000_5081000,2018,17631
TEAK,321000_4101000,2018,14044
WREF,582000_5076000,2018,14166
WREF,578000_5071000,2019,35358
SOAP,295000_4096000,2019,31521
WREF,581000_5080000,2018,32261
BART,316000_4881000,2018,37295
BONA,478000_7234000,2018,41540
BONA,474000_7230000,2019,41604
BONA,477000_7224000,2019,17399
OSBS,406000_3281000,2019,30590
TEAK,317000_4094000,2018,12933
BONA,482000_7224000,2018,2429
SOAP,301000_4099000,2018,17601
OSBS,398000_3284000,2019,34417
OSBS,396000_3285000,2019,33477
SOAP,299000_4105000,2019,23510
OSBS,405000_3280000,2019,36738
WREF,574000_5074000,2018,26682
TEAK,316000_4095000,2019,22176
BONA,479000_7234000,2018,18732
SOAP,299000_4106000,2019,23613
OSBS,403000_3289000,2019,23072
OSBS,400000_3286000,2019,25595
TEAK,320000_4099000,2018,16498
BONA,473000_7229000,2018,66148
OSBS,406000_3286000,2018,24694
WREF,578000_5081000,2018,21480
BART,317000_4877000,2018,40211
BONA,480000_7229000,2018,7923
WREF,572000_5070000,2018,20695
BONA,476000_7232000,2018,73034
SOAP,300000_4096000,2019,39510
TEAK,313000_4104000,2018,18626
TEAK,313000_4096000,2018,17574
OSBS,403000_3277000,2018,17099
BART,317000_4876000,2018,36484
SOAP,300000_4103000,2018,14386
BONA,469000_7228000,2019,68690
TEAK,313000_4093000,2019,20039
TEAK,322000_4105000,2018,13042
TEAK,316000_4104000,2018,18596
WREF,582000_5074000,2018,20177
SOAP,299000_4102000,2019,20184
SOAP,297000_4102000,2019,14291
DELA,427000_3597000,2019,15839
SOAP,294000_4097000,2018,28305
OSBS,396000_3284000,2018,22216
TEAK,322000_4099000,2018,17171
TEAK,322000_4094000,2019,6870
TEAK,319000_4098000,2018,18896
BONA,473000_7226000,2019,43113
SOAP,297000_4105000,2019,32351
WREF,576000_5077000,2019,31448
WREF,580000_5080000,2019,33602
SOAP,300000_4102000,2019,18764
TEAK,314000_4091000,2018,16403
WREF,583000_5071000,2018,17064
BONA,469000_7227000,2018,54301
DELA,420000_3602000,2019,28087
WREF,579000_5078000,2018,26571
BART,318000_4879000,2018,35846
BONA,481000_7231000,2018,32033
BONA,483000_7234000,2019,7054
OSBS,405000_3282000,2019,24397
SOAP,298000_4096000,2018,9688
TEAK,314000_4099000,2019,26029
WREF,582000_5071000,2018,20600
BONA,475000_7230000,2019,16612
BART,316000_4878000,2019,44767
BONA,473000_7227000,2018,28434
WREF,592000_5076000,2018,24321
BONA,473000_7233000,2019,34089
BART,320000_4876000,2018,32794
BONA,479000_7227000,2019,5194
