path,plot_center_x,plot_center_y,tree_density,average_height,year,site
/orange/idtrees-collab/draped/2019_BLAN_3_756000_4335000_image.shp,756798.47773289,4335040.476234623,16,14.887256340384484,2019,BLAN
/orange/idtrees-collab/draped/2019_BLAN_3_763000_4329000_image.shp,763067.8149532564,4329942.670059471,5,24.669959869384765,2019,BLAN
/orange/idtrees-collab/draped/2019_BLAN_3_761000_4335000_image.shp,761516.7742138868,4335007.715663799,13,15.940192402326144,2019,BLAN
/orange/idtrees-collab/draped/2019_BLAN_3_762000_4331000_image.shp,762537.4017049413,4331121.341981128,5,28.744419887542723,2019,BLAN
/orange/idtrees-collab/draped/2019_BLAN_3_761000_4328000_image.shp,761325.3901988451,4328221.904861099,21,23.980062006087525,2019,BLAN
/orange/idtrees-collab/draped/2019_BLAN_3_755000_4333000_image.shp,755271.0569676769,4333396.539795808,11,12.965763614177705,2019,BLAN
/orange/idtrees-collab/draped/2019_BLAN_3_754000_4326000_image.shp,754594.8183609342,4326234.7513442645,0,,2019,BLAN
/orange/idtrees-collab/draped/2019_BLAN_3_754000_4329000_image.shp,754640.5944337422,4329842.293107397,3,19.169400647481282,2019,BLAN
/orange/idtrees-collab/draped/2019_BLAN_3_756000_4329000_image.shp,756391.7493541301,4329167.584195079,15,16.674320058186847,2019,BLAN
/orange/idtrees-collab/draped/2019_BLAN_3_762000_4331000_image.shp,762947.1364449998,4331239.084146151,0,,2019,BLAN
/orange/idtrees-collab/draped/2019_BLAN_3_760000_4335000_image.shp,760704.0645433738,4335680.692479088,0,,2019,BLAN
/orange/idtrees-collab/draped/2019_BLAN_3_752000_4334000_image.shp,752398.1965688738,4334153.217731938,1,14.387599754333497,2019,BLAN
/orange/idtrees-collab/draped/2019_BLAN_3_751000_4332000_image.shp,751114.1529441893,4332517.160306972,0,,2019,BLAN
/orange/idtrees-collab/draped/2019_BLAN_3_751000_4328000_image.shp,751541.4300192713,4328059.257255165,16,15.930187410116195,2019,BLAN
/orange/idtrees-collab/draped/2019_BLAN_3_761000_4330000_image.shp,761609.4049333665,4330643.942493714,18,31.402811208301117,2019,BLAN
/orange/idtrees-collab/draped/2019_BLAN_3_754000_4333000_image.shp,754594.8021664058,4333972.649150242,16,9.501381224393844,2019,BLAN
/orange/idtrees-collab/draped/2019_BLAN_3_757000_4325000_image.shp,757870.2695876366,4325259.949358811,0,,2019,BLAN
/orange/idtrees-collab/draped/2019_BLAN_3_755000_4335000_image.shp,755988.2742327844,4335191.9839250855,27,20.29192982638324,2019,BLAN
/orange/idtrees-collab/draped/2019_BLAN_3_751000_4327000_image.shp,751712.0958912713,4327290.720406934,1,15.577200164794922,2019,BLAN
