path,plot_center_x,plot_center_y,tree_density,average_height,year,site
/orange/idtrees-collab/draped/2019_WREF_3_578000_5080000_image.shp,578430.4346768532,5080912.84759538,16,23.336138112789396,2019,WREF
/orange/idtrees-collab/draped/2019_WREF_3_579000_5074000_image.shp,579198.0602542243,5074607.720657908,27,22.39820684614182,2019,WREF
/orange/idtrees-collab/draped/2019_WREF_3_574000_5075000_image.shp,574355.0362580282,5075924.806747332,7,22.890193963701385,2019,WREF
/orange/idtrees-collab/draped/2019_WREF_3_579000_5082000_image.shp,579724.9281536118,5082981.193019901,12,7.541893433719875,2019,WREF
/orange/idtrees-collab/draped/2019_WREF_3_576000_5072000_image.shp,576324.9982636415,5072557.973054946,11,22.26407366923419,2019,WREF
/orange/idtrees-collab/draped/2019_WREF_3_575000_5079000_image.shp,575178.1072796275,5079479.919062994,39,9.731415437615222,2019,WREF
/orange/idtrees-collab/draped/2019_WREF_3_583000_5080000_image.shp,583925.8451267299,5080900.037543442,23,14.30679924371761,2019,WREF
/orange/idtrees-collab/draped/2019_WREF_3_578000_5075000_image.shp,578383.5447619472,5075162.184697647,36,18.852246018242838,2019,WREF
/orange/idtrees-collab/draped/2019_WREF_3_575000_5080000_image.shp,575909.8446759924,5080505.037479933,12,23.18745887817144,2019,WREF
/orange/idtrees-collab/draped/2019_WREF_3_578000_5073000_image.shp,578706.3696967484,5073425.925064583,27,31.620212590987595,2019,WREF
/orange/idtrees-collab/draped/2019_WREF_3_577000_5080000_image.shp,577961.1801441914,5080683.079371581,22,28.07922974998951,2019,WREF
/orange/idtrees-collab/draped/2019_WREF_3_581000_5074000_image.shp,581573.1785800421,5074447.213555834,19,27.375405553064848,2019,WREF
/orange/idtrees-collab/draped/2019_WREF_3_591000_5074000_image.shp,591152.6201256395,5074980.027141979,33,23.200024514550876,2019,WREF
/orange/idtrees-collab/draped/2019_WREF_3_580000_5073000_image.shp,580728.9861428521,5073346.678248809,12,25.46619536104997,2019,WREF
/orange/idtrees-collab/draped/2019_WREF_3_582000_5079000_image.shp,582376.715258086,5079708.821337097,25,12.785101830587388,2019,WREF
/orange/idtrees-collab/draped/2019_WREF_3_578000_5081000_image.shp,578163.7539680137,5081926.6639581,19,29.471233117254158,2019,WREF
/orange/idtrees-collab/draped/2019_WREF_3_582000_5082000_image.shp,582553.9419909667,5082426.299158062,26,19.669004312718833,2019,WREF
/orange/idtrees-collab/draped/2019_WREF_3_576000_5073000_image.shp,576573.03399781,5073044.047507889,12,26.40129351541201,2019,WREF
/orange/idtrees-collab/draped/2019_WREF_3_579000_5077000_image.shp,579077.4079941659,5077415.712293659,21,18.06070874077479,2019,WREF
/orange/idtrees-collab/draped/2019_WREF_3_589000_5078000_image.shp,589055.3489474705,5078994.933027296,13,24.173456322655316,2019,WREF
/orange/idtrees-collab/draped/2019_WREF_3_576000_5081000_image.shp,576307.1139976894,5081961.639349049,6,30.889241818618775,2019,WREF
/orange/idtrees-collab/draped/2019_WREF_3_579000_5079000_image.shp,579523.1874060734,5079196.992570738,20,22.549003336863514,2019,WREF
/orange/idtrees-collab/draped/2019_WREF_3_591000_5078000_image.shp,591617.557748464,5078784.738873769,34,24.60893125040952,2019,WREF
/orange/idtrees-collab/draped/2019_WREF_3_582000_5075000_image.shp,582449.7713566584,5075845.176162243,0,,2019,WREF
/orange/idtrees-collab/draped/2019_WREF_3_576000_5079000_image.shp,576680.6705070781,5079744.369132436,40,12.94582614578724,2019,WREF
/orange/idtrees-collab/draped/2019_WREF_3_575000_5077000_image.shp,575783.2210638134,5077394.038487227,21,15.871990686707269,2019,WREF
/orange/idtrees-collab/draped/2019_WREF_3_578000_5079000_image.shp,578560.6236618727,5079925.710855033,29,30.796749638294354,2019,WREF
/orange/idtrees-collab/draped/2019_WREF_3_580000_5076000_image.shp,580987.1627979212,5076401.403801798,9,28.182305970006517,2019,WREF
/orange/idtrees-collab/draped/2019_WREF_3_576000_5074000_image.shp,576590.8052964326,5074013.986034294,15,27.783743185246784,2019,WREF
/orange/idtrees-collab/draped/2019_WREF_3_582000_5073000_image.shp,582960.4474623713,5073658.486670365,17,31.388695548510547,2019,WREF
/orange/idtrees-collab/draped/2019_WREF_3_580000_5072000_image.shp,580241.7661384479,5072702.719088929,20,35.17297779382706,2019,WREF
/orange/idtrees-collab/draped/2019_WREF_3_582000_5082000_image.shp,582243.155871915,5082849.9607191235,12,4.899399615255992,2019,WREF
/orange/idtrees-collab/draped/2019_WREF_3_578000_5076000_image.shp,578545.2105567184,5076865.767197329,29,12.431623400405359,2019,WREF
/orange/idtrees-collab/draped/2019_WREF_3_581000_5073000_image.shp,581889.685450545,5073974.000545302,18,8.529413874559932,2019,WREF
/orange/idtrees-collab/draped/2019_WREF_3_579000_5082000_image.shp,579126.2890574082,5082517.947858274,17,34.638720029157746,2019,WREF
/orange/idtrees-collab/draped/2019_WREF_3_578000_5071000_image.shp,578224.5402634934,5071939.473443974,18,23.561017053307424,2019,WREF
/orange/idtrees-collab/draped/2019_WREF_3_580000_5077000_image.shp,580414.1218034312,5077980.131962599,11,15.34500564309467,2019,WREF
/orange/idtrees-collab/draped/2019_WREF_3_579000_5071000_image.shp,579083.5559284306,5071503.226351754,17,17.00191474261003,2019,WREF
/orange/idtrees-collab/draped/2019_WREF_3_575000_5081000_image.shp,575820.7626286431,5081928.267067398,6,32.56846928221385,2019,WREF
/orange/idtrees-collab/draped/2019_WREF_3_581000_5080000_image.shp,581954.5623871654,5080062.7970039025,15,20.072577699869473,2019,WREF
/orange/idtrees-collab/draped/2019_WREF_3_582000_5078000_image.shp,582218.4903136411,5078413.272177573,19,34.51592126252526,2019,WREF
/orange/idtrees-collab/draped/2019_WREF_3_583000_5072000_image.shp,583199.1591193017,5072374.7218824085,0,,2019,WREF
/orange/idtrees-collab/draped/2019_WREF_3_581000_5078000_image.shp,581699.890978995,5078445.6079999,19,7.935806907681415,2019,WREF
/orange/idtrees-collab/draped/2019_WREF_3_582000_5078000_image.shp,582324.1008419564,5078158.4375243625,15,37.98061661538442,2019,WREF
/orange/idtrees-collab/draped/2019_WREF_3_582000_5073000_image.shp,582409.0180951009,5073024.709765419,0,,2019,WREF
/orange/idtrees-collab/draped/2019_WREF_3_583000_5076000_image.shp,583095.3994076934,5076879.5009560315,20,16.144161103520396,2019,WREF
/orange/idtrees-collab/draped/2019_WREF_3_579000_5082000_image.shp,579816.1725467034,5082938.1349816555,20,19.995903647747035,2019,WREF
/orange/idtrees-collab/draped/2019_WREF_3_577000_5078000_image.shp,577606.8772818856,5078859.409075555,16,22.783612866780164,2019,WREF
/orange/idtrees-collab/draped/2019_WREF_3_575000_5081000_image.shp,575058.1203007586,5081548.322186059,12,11.934096024417878,2019,WREF
/orange/idtrees-collab/draped/2019_WREF_3_589000_5078000_image.shp,589688.641738821,5078840.292472613,18,11.774848328932126,2019,WREF
/orange/idtrees-collab/draped/2019_WREF_3_579000_5072000_image.shp,579271.4267665322,5072110.751800592,20,14.80141859496832,2019,WREF
/orange/idtrees-collab/draped/2019_WREF_3_575000_5070000_image.shp,575766.1801343306,5070403.396814741,11,29.851539985778114,2019,WREF
/orange/idtrees-collab/draped/2019_WREF_3_589000_5074000_image.shp,589630.7466234141,5074814.586688948,20,45.92410452371597,2019,WREF
/orange/idtrees-collab/draped/2019_WREF_3_574000_5080000_image.shp,574936.0395870821,5080528.688306774,37,16.70128625737654,2019,WREF
/orange/idtrees-collab/draped/2019_WREF_3_575000_5077000_image.shp,575002.5973031684,5077476.865584654,22,14.693931021616676,2019,WREF
/orange/idtrees-collab/draped/2019_WREF_3_583000_5078000_image.shp,583441.2348022114,5078861.976599999,20,26.463897394475936,2019,WREF
/orange/idtrees-collab/draped/2019_WREF_3_577000_5080000_image.shp,577438.9156870834,5080886.159609376,19,24.17749940319563,2019,WREF
/orange/idtrees-collab/draped/2019_WREF_3_579000_5081000_image.shp,579703.4076477801,5081489.5327619715,14,19.283742906543186,2019,WREF
/orange/idtrees-collab/draped/2019_WREF_3_578000_5077000_image.shp,578830.6754674064,5077937.688431764,19,8.335717259739575,2019,WREF
/orange/idtrees-collab/draped/2019_WREF_3_593000_5075000_image.shp,593091.1687326928,5075783.996850978,21,40.391810155541556,2019,WREF
/orange/idtrees-collab/draped/2019_WREF_3_575000_5071000_image.shp,575213.4022667847,5071362.523765922,21,21.092103739068623,2019,WREF
/orange/idtrees-collab/draped/2019_WREF_3_577000_5073000_image.shp,577178.3571983947,5073039.317570135,7,12.653420412077223,2019,WREF
/orange/idtrees-collab/draped/2019_WREF_3_580000_5076000_image.shp,580047.3718274126,5076523.507960022,21,10.676622434485527,2019,WREF
/orange/idtrees-collab/draped/2019_WREF_3_578000_5081000_image.shp,578980.1921994592,5081916.17500326,21,34.01443903873989,2019,WREF
/orange/idtrees-collab/draped/2019_WREF_3_582000_5080000_image.shp,582731.0976927098,5080096.544338922,9,41.84442108635373,2019,WREF
/orange/idtrees-collab/draped/2019_WREF_3_581000_5072000_image.shp,581516.3086774999,5072245.888727907,14,22.234332287395,2019,WREF
/orange/idtrees-collab/draped/2019_WREF_3_574000_5082000_image.shp,574039.7059761601,5082784.206939839,10,31.86549757915974,2019,WREF
/orange/idtrees-collab/draped/2019_WREF_3_574000_5073000_image.shp,574359.3842186969,5073695.968834148,15,21.99732197860717,2019,WREF
