,index,geo_index,height_mean,height_std,area_mean,area_std,Site,Year,0
0,0,252000_2159000,5.913717899364331,2.633666079776011,19.277389312937252,17.609058512702294,PUUM,2019,1965
1,1,252000_2160000,6.1413460455264275,2.28823895660633,17.91943262408883,16.343810837074876,PUUM,2019,10716
2,2,252000_2161000,4.856453061897187,1.5455521191908503,21.050452457465646,15.988475671120028,PUUM,2019,4354
3,3,252000_2167000,5.857028817439701,2.599360946675852,17.879973742650705,15.416274414917053,PUUM,2019,9902
4,4,252000_2169000,5.375781864716878,1.3966478921756131,18.437972973070327,14.962818482068352,PUUM,2019,74
5,5,252000_4103000,4.850982003778516,1.806015485867315,46.503210702227385,47.805649637904885,SJER,2018,299
6,6,252000_4104000,5.022111819924357,1.6920852160357003,43.82888980710646,39.18841904187097,SJER,2019,2054
7,6,252000_4104000,5.022111819924357,1.6920852160357003,43.82888980710646,39.18841904187097,SJER,2018,1576
8,7,252000_4105000,4.3896572100114675,1.0971994544345811,42.88161925598342,31.479992843676843,SJER,2019,1639
9,7,252000_4105000,4.3896572100114675,1.0971994544345811,42.88161925598342,31.479992843676843,SJER,2018,1103
10,8,252000_4106000,4.9194242562863035,1.843528494493225,51.54610435807237,41.47185198995212,SJER,2018,1283
11,8,252000_4106000,4.9194242562863035,1.843528494493225,51.54610435807237,41.47185198995212,SJER,2019,2090
12,9,252000_4108000,5.791152661978613,2.386930412003312,42.15657660125378,39.32620899830055,SJER,2018,2563
13,9,252000_4108000,5.791152661978613,2.386930412003312,42.15657660125378,39.32620899830055,SJER,2019,4728
14,10,252000_4109000,5.715817927822741,2.6449028035708304,44.42036742623005,39.84345297745458,SJER,2019,3530
15,10,252000_4109000,5.715817927822741,2.6449028035708304,44.42036742623005,39.84345297745458,SJER,2018,2131
16,11,252000_4110000,5.114292513620384,1.965269051893433,40.565286849014555,36.8101158430155,SJER,2019,5247
17,11,252000_4110000,5.114292513620384,1.965269051893433,40.565286849014555,36.8101158430155,SJER,2018,2684
18,12,252000_4112000,5.727492044872658,2.581371785875345,31.59924304600851,28.471184802113047,SJER,2019,6579
19,13,253000_2159000,4.971277999525032,1.8289248999518064,19.115469306914147,16.607368333054243,PUUM,2019,2525
20,14,253000_2167000,10.053637738680798,4.867837840360245,17.357309057975296,16.162218194945762,PUUM,2019,28726
21,15,253000_2168000,5.996713022440774,2.5244532183396102,18.04465730950546,16.22030884692292,PUUM,2019,5486
22,16,253000_4103000,5.32338869572867,1.7486409612398666,65.00252354034667,53.20766265942777,SJER,2018,531
23,17,253000_4104000,4.999812606714309,1.4237005520662218,46.173954836082174,39.75947087792842,SJER,2019,2970
24,17,253000_4104000,4.999812606714309,1.4237005520662218,46.173954836082174,39.75947087792842,SJER,2018,2034
25,18,253000_4105000,4.733420302105574,1.267291853621818,52.944126248193506,41.302387076656146,SJER,2018,1132
26,18,253000_4105000,4.733420302105574,1.267291853621818,52.944126248193506,41.302387076656146,SJER,2019,1672
27,19,253000_4106000,4.9866341260215,1.4923528337174627,49.81775306999222,41.31654522818919,SJER,2019,1862
28,19,253000_4106000,4.9866341260215,1.4923528337174627,49.81775306999222,41.31654522818919,SJER,2018,1151
29,20,253000_4111000,5.333795282156126,2.0893725782714796,41.453784669339484,38.55562745139461,SJER,2019,5488
30,20,253000_4111000,5.333795282156126,2.0893725782714796,41.453784669339484,38.55562745139461,SJER,2018,3057
31,21,253000_4112000,4.654826242684701,1.4294152060350744,35.68170175815798,28.91493479757475,SJER,2019,5264
32,21,253000_4112000,4.654826242684701,1.4294152060350744,35.68170175815798,28.91493479757475,SJER,2018,3950
33,22,253000_4113000,4.812272934438255,1.559685744909524,37.71953733763063,32.10590013335255,SJER,2018,4928
34,23,254000_2166000,8.48581961014109,4.968912039719085,19.484938402340628,15.705633029376472,PUUM,2019,17939
35,24,254000_2168000,11.739775268625406,3.99602625926396,16.720393246219047,15.55850581002463,PUUM,2019,23039
36,25,254000_4104000,5.1885166360401564,1.7107346298851482,52.323197475642075,46.8764295412359,SJER,2018,1523
37,25,254000_4104000,5.1885166360401564,1.7107346298851482,52.323197475642075,46.8764295412359,SJER,2019,2280
38,26,254000_4105000,5.4176325141791315,2.0469713140027546,51.92983442428135,48.46209149851848,SJER,2018,1011
39,26,254000_4105000,5.4176325141791315,2.0469713140027546,51.92983442428135,48.46209149851848,SJER,2019,1586
40,27,254000_4106000,5.275259503586235,1.9083773007357312,40.792335452454374,40.41516495103154,SJER,2018,1940
41,27,254000_4106000,5.275259503586235,1.9083773007357312,40.792335452454374,40.41516495103154,SJER,2019,3408
42,28,254000_4109000,5.4526114713203215,2.395117702855684,41.73122390205185,40.76343134755239,SJER,2019,2755
43,28,254000_4109000,5.4526114713203215,2.395117702855684,41.73122390205185,40.76343134755239,SJER,2018,1412
44,29,254000_4110000,5.168971533737749,2.0642511123023417,43.001827757067915,38.271257553715394,SJER,2019,3095
45,29,254000_4110000,5.168971533737749,2.0642511123023417,43.001827757067915,38.271257553715394,SJER,2018,1747
46,30,254000_4112000,5.868812278170076,2.527002936800571,33.85561653538914,33.441407955342875,SJER,2019,7887
47,30,254000_4112000,5.868812278170076,2.527002936800571,33.85561653538914,33.441407955342875,SJER,2018,4813
48,31,255000_2160000,9.42208929755803,2.9704833433295548,16.565019271094,14.804303832450591,PUUM,2019,40994
49,32,255000_2161000,10.300519742075169,3.3166756983942753,17.755400350659926,16.62556021745653,PUUM,2019,39353
50,33,255000_2163000,11.692759128998729,5.914617004422173,16.723085320404437,15.172598586746927,PUUM,2019,26840
51,34,255000_2164000,10.714012387324402,4.923786708139358,16.89532041123459,15.406180256987943,PUUM,2019,27137
52,35,255000_2165000,12.121246686970922,4.978270688162014,17.266231734178042,16.906746793148475,PUUM,2019,36749
53,36,255000_2166000,9.741373271154467,4.868797390096083,16.951190013151617,14.96523843219865,PUUM,2019,31882
